Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
1,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,4.96E+00,Alternate species length,2,m^2.5 per pred per day,0.31,2.24E-02,9.85E-03,9.02E-02,2.14E-02,9.38E-03,3.46E-02,
2,Soluk 1993 ECOLOGY,Predator,2.5,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Perlidae,Agnetina capitata,Larva,,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,,Mean,N,24,,,1,1.90E+03,,6.88E+01,Original length,2,6.66E+00,Alternate species length,2,m^2.5 per pred per day,0.4,2.47E-03,1.61E-03,1.02E-02,2.11E-02,9.32E-10,9.33E-02,
3,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,N,12,26,,1,1.96E+01,,4.61E-03,Alternate species length,4,2.05E-03,Alternate species length,2,m^2 per pred per day,0.96,1.01E-02,9.21E-03,1.14E-02,2.34E-02,1.93E-02,2.66E-02,
4,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,Egg,2,Raw data,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,2.05E-03,Alternate species length,2,m^2 per pred per day,0.94,9.17E-03,7.39E-03,1.10E-02,5.60E-03,3.58E-03,6.56E-03,
5,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,1st instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,N,12,26, ,1,1.96E+01,,4.61E-03,Alternate species length,4,9.42E-03,% adult mass,3,m^2 per pred per day,0.87,8.49E-03,5.96E-03,1.09E-02,2.46E-02,1.66E-02,3.01E-02,
6,Hassanpour et al 2011 INS SCI,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysoperla carnea,2nd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Cotton bollworm,Helicoverpa armigera,1st instar,2,Raw data,N,12,26,,1,1.96E+01,,2.49E+00,% adult mass,5,9.42E-03,% adult mass,3,m^2 per pred per day,0.95,1.20E-02,1.03E-02,1.43E-02,7.51E-03,6.61E-03,8.33E-03,
7,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Neuroptera,Chrysopa oculata,2nd and 3rd instar,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,N,,29,,1,7.85E+01,,2.05E+01,% adult mass,4,2.68E-03,Alternate species length,1,m^2 per pred per day,0.5,2.38E-02,1.54E-02,3.54E-02,1.01E-02,5.98E-03,1.45E-02,
8,Parajulee 2006 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris punctipes,Adult,3,Metazoan,Invertebrate,Insect,Lepidoptera,Corn earworm/Cotton bollworm,Helicoverpa zea,Egg,2,Mean,N,,29,,1,7.85E+01,,1.69E+00,Alternate species length,1,2.68E-03,Alternate species length,1,m^2 per pred per day,0.33,2.00E-02,9.19E-03,3.45E-02,1.09E-02,1.32E-09,1.85E-02,
9,Enkegaard et al 2001 ENTO EXP APPL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Greenhouse whitefly,Trialeurodes vaporariorum,1st instar,2,Mean,N,23,22,,1,5.82E+01,,2.24E+00,Alternate species length,1,4.12E-04,Alternate species length,3,m^2 per pred per day,0.66,3.02E-03,2.54E-03,3.81E-03,1.11E-08,2.63E-10,5.47E-03,
10,Sepulveda and Carrillo 2008 REV BIO TROP,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Chileseius camposi,Adult,3,Metazoan,Invertebrate,Arachnid,Mite,European red mite,Panonychus ulmi,Adult female,2,Mean,N,24,20,,1,3.14E+00,,6.13E-02,Alternate order mass,1,2.53E-02,Alternate species length,1,m^2 per pred per day,0.11,8.77E-05,3.28E-05,1.98E-04,2.14E-01,2.16E-03,3.65E-01,
11,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,0.75,7.30E-03,6.04E-03,8.62E-03,3.82E-02,3.05E-02,4.30E-02,24 hr trial
12,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,0.8,2.53E-03,2.15E-03,3.00E-03,2.31E-02,9.02E-03,4.06E-02,24 hr trial
13,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,0.75,2.77E-03,2.22E-03,3.51E-03,3.70E-02,1.77E-02,5.65E-02,24 hr trial
14,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,0.62,3.27E-03,2.53E-03,4.37E-03,7.40E-02,4.91E-02,1.01E-01,24 hr trial
15,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,0.36,9.79E-04,6.29E-04,1.67E-03,1.73E-01,4.64E-02,2.99E-01,24 hr trial
16,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,0.71,2.15E-03,1.78E-03,2.70E-03,1.14E-01,7.81E-02,1.45E-01,48 hr trial
17,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,0.77,1.19E-03,9.82E-04,1.43E-03,5.49E-02,2.52E-03,9.24E-02,48 hr trial
18,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,0.71,1.22E-03,9.86E-04,1.50E-03,1.50E-01,9.29E-02,2.09E-01,48 hr trial
19,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,0.76,7.81E-04,6.22E-04,9.59E-04,1.63E-01,9.73E-02,2.27E-01,48 hr trial
20,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,0.46,3.00E-04,2.07E-04,4.73E-04,4.47E-01,4.69E-02,8.17E-01,48 hr trial
21,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,20,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,0.4,1.08E-03,7.25E-04,1.78E-03,1.37E-01,2.70E-03,2.48E-01,
22,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,25,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,0.44,1.45E-03,9.87E-04,2.66E-03,1.15E-01,4.44E-02,1.96E-01,
23,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,30,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,0.5,2.38E-03,1.71E-03,3.69E-03,1.26E-01,7.70E-02,1.71E-01,
24,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,N,,35,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,0.48,2.12E-03,1.44E-03,3.32E-03,1.08E-01,4.18E-02,1.63E-01,
25,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,4th instar,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,24,26,,1,1.77E+00,,2.33E-01,% adult mass,3,2.11E-03,Alternate species length,2,m^2 per pred per day,0.15,1.91E-04,1.15E-04,7.19E-04,1.78E-02,6.58E-03,3.24E-02,
26,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,5th instar,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,24,26,,1,1.77E+00,,,,,2.11E-03,Alternate species length,2,m^2 per pred per day,0.17,2.10E-04,1.18E-04,5.13E-04,1.50E-02,3.32E-03,2.41E-02,
27,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult male,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,24,26,,1,1.77E+00,,3.66E-01,Average genus mass,4,2.11E-03,Alternate species length,2,m^2 per pred per day,0.19,1.60E-04,9.36E-05,3.21E-04,1.67E-02,3.26E-03,2.74E-02,
28,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,N,24,26,,1,1.77E+00,,3.66E-01,Average genus mass,4,2.11E-03,Alternate species length,2,m^2 per pred per day,0.16,2.38E-04,1.46E-04,5.34E-04,1.34E-02,5.05E-03,2.15E-02,
29,Rocha and Redaelli 2004 BRAZ J BIOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult female (newly emerged),3,Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,2,Raw data,N,,27,,1,1.33E+02,1.19E+03,4.01E+02,Alternate family length,2,2.37E+00,% adult mass,2,m^2.5 per pred per day,0.43,5.45E-03,3.58E-03,7.71E-03,6.91E-02,4.83E-02,8.61E-02,
30,Rocha and Redaelli 2004 BRAZ J BIOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult male (newly emerged),3,Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,2,Raw data,N,,27,,1,1.33E+02,1.19E+03,4.01E+02,Alternate family length,1,2.37E+00,% adult mass,2,m^2.5 per pred per day,0.4,2.76E-03,1.61E-03,5.91E-03,1.00E-01,3.66E-02,1.64E-01,
31,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,14.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,0.82,1.68E-06,1.23E-06,2.31E-06,1.97E-02,9.27E-03,2.78E-02,
32,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,0.61,2.26E-06,1.29E-06,3.46E-06,2.86E-02,1.90E-02,3.85E-02,
33,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,0.84,7.86E-07,5.51E-07,1.02E-06,6.97E-02,5.67E-02,8.61E-02,
34,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,5,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,0.05,9.97E-05,3.60E-05,5.57E-04,3.01E-01,2.15E-01,3.67E-01,
35,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,8,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,0.81,5.17E-05,3.86E-05,6.54E-05,5.50E-02,4.22E-02,6.43E-02,
36,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,12,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,0.71,8.10E-05,5.66E-05,1.07E-04,4.45E-02,3.56E-02,5.42E-02,
37,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,16,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,0.82,1.29E-04,1.10E-04,1.47E-04,2.38E-02,2.13E-02,2.60E-02,
38,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,20,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,0.73,1.48E-04,1.25E-04,1.75E-04,2.65E-02,2.37E-02,2.89E-02,
39,Thompson 1978 J ANIM ECOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Odonata,Ischnura elegans,larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia,,2,Mean,N,48,27,,1,,7.50E+01,5.47E+01,Average species mass,8,5.92E-01,Average genus mass,8,m^3 per pred per day,0.81,1.32E-04,1.12E-04,1.53E-04,2.22E-02,2.01E-02,2.44E-02,
40,Zhang et al 2012 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2,Mean,N,24,25,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,0.51,7.49E-03,5.65E-03,9.94E-03,2.99E-02,1.91E-02,4.03E-02,
41,Zhang et al 2012 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2,Mean,N,24,28,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,0.69,7.26E-03,6.04E-03,9.45E-03,1.57E-02,9.55E-03,2.21E-02,
42,Zhang et al 2012 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius similis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus cinnabarinus,3rd or 4th instar,2,Mean,N,24,31,,1,6.36E+01,,4.93E+01,Average genus mass,1,,,,m^2 per pred per day,0.65,7.27E-03,5.54E-03,9.56E-03,1.73E-02,6.79E-03,2.43E-02,
43,Tellez et al 2009 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,3,Metazoan,Invertebrate,Insect,Diptera,Sciarid fly,Bradysia sp.,Adult,2,Mean,N,24,25,,1,5.03E+01,,1.57E+00,Alternate genus length,2,1.30E+00,Original length,1,m^2 per pred per day,0.75,3.07E-03,2.50E-03,3.82E-03,4.25E-02,3.26E-02,5.27E-02,
44,Tellez et al 2009 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,3,Metazoan,Invertebrate,Insect,Diptera,American serptentine leafminer,Liriomyza trifolii,Adult,2,Mean,N,24,25,,1,5.03E+01,,1.57E+00,Alternate genus length,2,5.39E-01,Original length,1,m^2 per pred per day,0.85,4.30E-03,3.33E-03,5.54E-03,4.04E-02,3.36E-02,4.67E-02,
45,Tellez et al 2009 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Diptera,Coenosia attenuata,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Tobacco whitefly,Bemisia tabaci,Adult,2,Mean,N,24,25,,1,5.03E+01,,1.57E+00,Alternate genus length,2,2.79E-02,Alternate species length,2,m^2 per pred per day,0.69,5.20E-03,4.27E-03,6.26E-03,3.43E-02,2.77E-02,4.15E-02,
46,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,1st instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,2.21E+00,% adult mass,3,1.37E-01,Alternate species length,2,m^2 per pred per day,0.07,7.78E-04,2.08E-04,6.63E-03,1.06E+00,4.10E-07,1.64E+00,
47,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,2nd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,7.32E+01,% adult mass,4,1.37E-01,Alternate species length,2,m^2 per pred per day,0.08,1.79E-03,5.60E-04,1.91E-02,4.57E-01,2.86E-07,7.15E-01,
48,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,3rd instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,9.31E+01,% adult mass,5,1.37E-01,Alternate species length,2,m^2 per pred per day,0.38,9.51E-04,7.09E-04,2.17E-03,2.51E-02,6.65E-09,1.53E-01,
49,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,4th instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,3.28E+02,% adult mass,6,1.37E-01,Alternate species length,2,m^2 per pred per day,0.28,1.48E-03,7.02E-04,4.60E-03,1.76E-01,1.15E-03,2.88E-01,
50,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,5th instar,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,,,,1.37E-01,Alternate species length,2,m^2 per pred per day,0.28,9.26E-04,6.74E-04,3.35E-03,6.40E-03,7.55E-09,2.32E-01,
51,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,Adult male,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,4.01E+02,Alternate family length,1,1.37E-01,Alternate species length,2,m^2 per pred per day,0.36,8.39E-04,4.26E-04,2.36E-03,2.83E-01,6.18E-02,4.56E-01,
52,Sahayaraj et al 2015 EUR J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Rhynocoris kumarii,Adult female,3,Metazoan,Invertebrate,Insect,Hemiptera,Cotton mealy bug,Phenacoccus solenopsis,3rd instar,2,Mean,N,12,28,,1,1.60E+01,,4.01E+02,Alternate family length,2,1.37E-01,Alternate species length,2,m^2 per pred per day,0.19,1.61E-03,9.35E-04,3.18E-03,7.53E-01,6.26E-01,8.93E-01,
53,Queiroz et al 2015 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Amphiareus constrictus,Adult (<5d old),3,Metazoan,Invertebrate,Insect,Lepidoptera,Tomato leafminer,Tuta absoluta,Egg,2,Mean,N,12,25,,1,4.91E+00,,6.25E-01,Alternate genus length,1,4.05E-04,Alternate species length,2,m^2 per pred per day,0.85,4.67E-04,3.11E-04,6.93E-04,3.26E-02,1.39E-02,4.87E-02,
54,Queiroz et al 2015 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Blaptostethus pallescens,Adult (<5d old),3,Metazoan,Invertebrate,Insect,Lepidoptera,Tomato leafminer,Tuta absoluta,Egg,2,Mean,N,12,25,,1,4.91E+00,,3.86E-01,Alternate species length,1,4.05E-04,Alternate species length,2,m^2 per pred per day,0.92,4.88E-04,3.71E-04,6.36E-04,1.80E-02,8.22E-03,2.91E-02,
55,Queiroz et al 2015 ENVIRON ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius tristicolor,Adult (<5d old),3,Metazoan,Invertebrate,Insect,Lepidoptera,Tomato leafminer,Tuta absoluta,Egg,2,Mean,N,12,25,,1,4.91E+00,,8.17E-01,Alternate species length,1,4.05E-04,Alternate species length,2,m^2 per pred per day,0.77,5.40E-04,3.90E-04,8.05E-04,4.67E-02,2.91E-02,6.76E-02,
56,Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Apanteles myeloenta,"Adult (1d old, mated, naïve)",3,Metazoan,Invertebrate,Insect,Lepidoptera,Locust bean moth,Ectomyelois ceratoniae,1st instar,2,Raw data,N,,25,,1,3.85E+01,7.70E+02,1.56E+01,Alternate family length,1,8.53E-01,% adult mass,1,m^2.5 per pred per day,0.89,4.24E-03,3.78E-03,4.86E-03,1.18E-02,7.37E-03,1.53E-02,
57,Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL,Parasitoid,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Apanteles myeloenta,"Adult (1d old, mated, naïve)",3,Metazoan,Invertebrate,Insect,Lepidoptera,Locust bean moth,Ectomyelois ceratoniae,2nd instar,2,Raw data,N,,25,,1,3.85E+01,7.70E+02,1.56E+01,Alternate family length,1,1.69E+00,% adult mass,2,m^2.5 per pred per day,0.89,3.89E-03,3.38E-03,4.42E-03,9.49E-03,5.01E-03,1.36E-02,
